REV_NUMBER,REV_ALPHABET,CABLE_SIZE,PROCURED_BY,CABLE_TAG,START_EQPT,END_EQPT,LENGTH_SRRL,NO_OF_RUNS,TOTAL_DESIGN_LENGTH,CABLE_ROUTE,TIMESTAMP,LENGTH_VARIANCE
1,A,3X16-e,Unknown,PDB4-4P-15,415V PDB4,2MW DG(S) JW HEATER CONTROL PANEL,38.0,1.0,38.0,"071_L20C-P-05, 071_SCH20-P-07, 071_SCH20-P-02, 071_L45D-P-02, 071_L45D-P-01, 071_L75D-P-09, 071_L75D-P-07, 30-69-P-G-02-(400x200), 30-67-P-G-02-(400x200), 071_L45B-P-02, 071_L30C-P-06A, 071_L30C-P-05A, LOCAL ROUTE, , , , , , , , , , , , , , , , , , , , , , , , , , ",2023-12-14 16:55:08,0.0
1,A,3X16-e,Unknown,PDB4-4P-16,415V PDB4,2MW DG(C) JW HEATER CONTROL PANEL,43.5,1.0,43.5,"071_L20C-P-05, 071_SCH20-P-07, 071_SCH20-P-02, 071_L45D-P-02, 071_L45D-P-01, 071_L75D-P-09, 071_L75D-P-07, 071_L45D-P-05, 30-67-P-G-5, 30-69-P-G-5, 071_L45B-P-07, 071_L30C-P-04A, 071_L30C-P-03A, LOCAL ROUTE, , , , , , , , , , , , , , , , , , , , , , , , , ",2023-12-14 16:55:08,0.0
1,A,3X1.5-x,Unknown,PDB4-4P-20,415V PDB4,FO SERVICE PUMP STARTER PANEL (703.010.010),27.0,1.0,27.0,"071_L20C-P-03, 071_L20C-P-04, 30-62-P-D-1-(200x250), 063_L45B-P-13, 40-63-P-G-2-(400x200), 40-65-P-G-2-(400x200), 40-69-P-G-2-(400x200), 40-71-P-G-3A-(400x200), 063_SCH45-P-12, 063_SCH20-P-08, 063_SCH20-P-10, LOCAL ROUTE, , , , , , , , , , , , , , , , , , , , , , , , , , , ",2023-09-04 14:02:03,0.0
1,A,3X50-e,Unknown,PDB4-1-4P-01,415V PDB4-1,STARTING AIR COMPRESSOR CONTROL PANEL (731.001.020),16.5,1.0,16.5,"071_L20C-P-04, 071_L20C-P-03, 071_L20C-P-05, 071_SCH20-P-07, 071_SCH20-P-03, 071_L20C-P-06, 071_L20C-P-07, LOCAL ROUTE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",2023-12-14 16:55:08,0.0
1,A,3X4-e,Unknown,PDB4-1-4P-08,415V PDB4-1,BILGE/BALLAST PUMP HCOS(100A),17.5,1.0,17.5,"071_L20C-P-03, 071_SCH20-P-06, 071_SCH20-P-03, 071_L45C-P-02, 071_L45C-P-01, LOCAL ROUTE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",2023-12-14 16:55:08,0.0
1,A,3X2.5-e,Unknown,PDB4-1-4P-13,415V PDB4-1,UPS FOR DG LCP(P),30.0,1.0,30.0,"071_L20C-P-04, 30-62-P-D-1- (200x250), 40-61-P-G-2- (400x200), 063_L30B-P-01, 063_L45B-P-11, 063_L45B-P-10, 40-54-P-G-3 (400x200), 40-54-P-G-2 (400x200), 40-54-P-G-1 (400x200), 063_L45B-P-09, 063_SCH45-P-01, 30-54-P-D-1- (200x150), Local Route, , , , , , , , , , , , , , , , , , , , , , , , , , ",2023-12-14 16:55:08,0.0
1,A,3X2.5-e,Unknown,PDB4-1-4P-14,415V PDB4-1,UPS FOR DG LCP(S),5.0,1.0,5.0,"LOCAL ROUTE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",2023-12-14 16:55:08,0.0
1,A,3X2.5-e,Unknown,PDB4-1-4P-15,415V PDB4-1,UPS FOR DG LCP(C),19.0,1.0,19.0,"071_L20C-P-04, 30-62-P-D-1- (200x250), 40-61-P-G-2- (400x200), 063_L30B-P-01, 063_L45B-P-11, 20-54-P-D-1- (250x200), LOCAL ROUTE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",2023-12-14 16:55:08,0.0
1,A,3X2.5-e,Unknown,PDB4-1-4P-16,415V PDB4-1,DG(P) TURNING GEAR CONTROL PANEL,41.0,1.0,41.0,"071_L20C-P-05, 071_SCH20-P-07, 071_SCH20-P-02, 071_L45D-P-02, 071_L45D-P-01, 071_L75D-P-09, 071_L75D-P-07, 071_L45D-P-05, 30-67-P-G-5, 30-69-P-G-5, 071_L45B-P-07, LOCAL ROUTE ON FLATBAR, , , , , , , , , , , , , , , , , , , , , , , , , , , ",2023-12-14 16:55:08,0.0
1,A,3X2.5-e,Unknown,PDB4-1-4P-17,415V PDB4-1,DG(S) TURNING GEAR CONTROL PANEL,35.5,1.0,35.5,"071_L20C-P-05, 071_SCH20-P-07, 071_SCH20-P-02, 071_L45D-P-02, 071_L45D-P-01, 071_L75D-P-09, 071_L75D-P-07, 30-69-P-G-02-(400x200), 30-67-P-G-02-(400x200), 071_L45B-P-02, LOCAL ROUTE ON FLATBAR, , , , , , , , , , , , , , , , , , , , , , , , , , , , ",2023-12-14 16:55:08,0.0
1,A,3X2.5-e,Unknown,PDB4-1-4P-18,415V PDB4-1,DG(C) TURNING GEAR CONTROL PANEL,41.0,1.0,41.0,"071_L20C-P-05, 071_SCH20-P-07, 071_SCH20-P-02, 071_L45D-P-02, 071_L45D-P-01, 071_L75D-P-09, 071_L75D-P-07, 071_L45D-P-05, 30-67-P-G-5, 30-69-P-G-5, 071_L45B-P-07, LOCAL ROUTE ON FLATBAR, , , , , , , , , , , , , , , , , , , , , , , , , , , ",2023-12-14 16:55:08,0.0
2,A,3X6-e,Unknown,MDG1-1,SMPS (Inside UPS),SKID MOUNTED 3MW PORT DG LCP,27.5,1.0,27.5,"072_L20B-P-11, 072_SCH20-P-03, 072_L75D-P-03, 072_L75D-P-01, 072_VL30D-P-01, 30-52-P-D-2-(250X200), 066_L45B-P-01A, 40-52-P-G-3, 066_L45C-P-05A, 066_L45C-P-06A, THROUGH METALLIC FIXED CONDUIT, 1P, , , , , , , , , , , , , , , , , , , , , , , , , , , ",2023-09-12 10:47:34,0.0
2,A,3X6-e,Unknown,MDG1-2,3MW PORT DG UPS,SKID MOUNTED 3MW PORT DG LCP,27.5,1.0,27.5,"072_L20B-P-11, 072_SCH20-P-03, 072_L75D-P-03, 072_L75D-P-01, 072_VL30D-P-01, 30-52-P-D-2-(250X200), 066_L45B-P-01A, 40-52-P-G-3, 066_L45C-P-05A, 066_L45C-P-06A, THROUGH METALLIC FIXED CONDUIT, 1P, , , , , , , , , , , , , , , , , , , , , , , , , , , ",2023-09-12 10:47:40,0.0
2,A,2X1-x,Unknown,MDG1-3,UPS ALARM,SKID MOUNTED 3MW PORT DG LCP,31.2,1.0,31.2,"072_L20B-C-04A, 072_L20B-C-03A, 072_L20B-C-02A, 30-52-C-D-1-(250X200), 066_L20C-C-1A, 066_L20C-C-2A, 066_L20C-C-3A, 066_L20B-C-1A, THROUGH METALLIC FIXED CONDUIT, 1C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",2023-09-12 10:47:46,0.0
2,A,2X1.5-x,Unknown,MDG1-4,3MW PORT DG TURNING GEAR MOTOR STARTER PANEL,SKID MOUNTED 3MW PORT DG LCP,10.0,1.0,10.0,"LOCAL ROUTE, 2C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",2023-09-12 10:49:53,0.0
2,A,3X2.5-e,Unknown,MDG1-5,3MW PORT DG TURNING GEAR MOTOR STARTER PANEL,3MW PORT DG  TURNING GEAR MOTOR ENGINE MOUNTED,20.0,1.0,20.0,"LOCAL ROUTE, 2P, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",2023-09-12 10:54:24,0.0
2,A,2X1.5-x,Unknown,MDG1-6,3MW PORT DG JW HEATER ,SKID MOUNTED 3MW PORT DG LCP,10.0,1.0,10.0,"LOCAL ROUTE, THROUGH METALLIC FIXED CONDUIT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",2023-09-12 10:53:30,0.0
2,A,7X1-x,Unknown,MDG1-7,STBY SW PUMP (721.001.010) STARTER PANEL,SKID MOUNTED 3MW PORT DG LCP,17.0,1.0,17.0,"066_SCH20-C-3A, 066_L20C-C-4A, THROUGH METALLIC FIXED CONDUIT, 1C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",2023-09-12 10:53:18,0.0
2,A,3X16-e,Unknown,MDG1-8,STBY SW PUMP (721.001.010) STARTER PANEL,STBY SW PUMP (721.001.010) MOTOR,20.0,1.0,20.0,"THROUGH METALLIC FIXED CONDUIT, 3P, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",2023-09-12 10:54:10,0.0
